37.393779/3	023158	D 979.811	X014910454	523486	W1	21-12-2017 13:13:22	LI	01	789 	CABINA  NEW-ACCELO PARA QVV915	20.174334/1	605443	5376	QQJJ013
37.395986/7	023179	D 958.860	X014911189	523579	W1	21-12-2017 13:13:26	LI	01	 BR 	CABINA  ATEGO PARA QVV17193090	10.152993/5	605528	9147	QQRR904
37.392813/5	023189	D 979.811	X014910190	523583	W1	21-12-2017 13:13:30	LI	01	771 	CABINA ACCELO	20.174560/3	605531	9147	QQJJ012
37.391491/4	023363	D 958.860	X014911208	523535	W1	21-12-2017 13:13:34	LI	01	777 	CABINA  ATEGO PARA QVV17263446	10.152869/6	605489	9147	QQNN974
37.392819/6	023193	D 979.811	X014910190	523611	W1	21-12-2017 13:13:38	LI	01	771 	CABINA ACCELO	20.174576/0	605553	9147	QQJJ012
37.395662/3	023132	D 979.811	X014910346	523548	W1	21-12-2017 14:01:02	LI	01	 BR 	CABINA  NEW-ACCELO PARA QVV815	20.174479/8	605501	9147	QQJJ014
37.395989/2	023191	D 958.860	X014911189	523671	W1	21-12-2017 14:01:07	LI	01	 BR 	CABINA  ATEGO PARA QVV17193090	10.153049/6	605600	9147	QQRR904
37.320452/2	023192	D 979.811	X014910454	523093	W1	21-12-2017 14:02:12	LI	01	 BR 	CABINA  NEW-ACCELO PARA QVV915	20.174005/9	605122	9147	QQJJ013
37.391474/4	023278	D 958.860	X014911203	523590	W1	21-12-2017 14:02:45	LI	01	 BR 	CABINA  ATEGO PARA QVV17263429	10.152932/3	605536	9147	QQRR932
37.396027/4	023365	D 958.870	X014910781	523637	W1	21-12-2017 14:02:57	LI	06	771 	CABINA  AXOR PARA QVV19331939T	10.152953/6	133129	9147	QQEJ750
37.392817/2	023188	D 979.811	X014910190	523659	W1	21-12-2017 14:03:13	LI	01	771 	CABINA ACCELO	20.174661/8	605591	9147	QQJJ012
37.391599/2	023190	D 958.860	X014911205	523663	W1	21-12-2017 14:04:14	LI	01	 BR 	CABINA  ATEGO PARA QVV17263442	10.153005/4	605594	9147	QQRR980
37.379972/4	023195	D 958.860	X014911185	521892	W1	21-12-2017 14:04:18	LI	01	 BR 	CABINA  ATEGO PARA QVV14190910	10.151849/6	604113	9147	QQRR904
37.394577/7	023205	D 979.811	X014910190	523666	W1	21-12-2017 14:08:33	LI	01	771 	CABINA ACCELO	20.174671/5	605596	9147	QQJJ012
37.391497/5	023198	D 958.860	X014911209	523494	W1	21-12-2017 14:08:37	LI	01	785 	CABINA  ATEGO PARA QVV17263448	10.152820/3	605451	9147	QQZZ972
37.391421/5	023203	D 979.811	X014910209	523668	W1	21-12-2017 14:13:54	LI	01	771 	CABINA ACCELO	20.174683/9	605598	9147	QQJJ012
37.358737/0	023200	D 958.860	X014911183	523613	W1	21-12-2017 14:28:12	LI	01	789 	CABINA  ATEGO PARA QVV14180956	10.152908/0	605555	9147	QQCJ913
37.391558/0	023338	D 958.860	X014911217	523619	W1	21-12-2017 14:28:51	LI	01	 BR 	CABINA  ATEGO PARA QVV24267743	10.152998/6	605560	3530	QQBB980
37.396059/6	023212	D 979.811	X014910247	523645	W1	21-12-2017 14:30:29	LI	01	 BR 	CABINA LTC	20.174583/2	605580	3530	QQJJ014
37.391560/8	023239	D 958.860	X014911218	523623	W1	21-12-2017 14:31:31	LI	01	777 	CABINA  ATEGO PARA QVV24267748	10.152941/2	605563	9147	QQZZ979
37.390806/9	023220	D 979.811	X014910190	523691	W1	21-12-2017 14:35:07	LI	01	771 	CABINA ACCELO	20.174682/0	605617	9147	QQJJ012
37.391449/5	023340	D 958.860	X014911197	523662	W1	21-12-2017 14:35:12	LI	01	787 	CABINA  ATEGO PARA QVV17251792	10.152909/9	605593	9147	QQZJ971
37.393644/2	023236	D 958.860	X014911190	523628	W1	21-12-2017 14:49:46	LI	01	 BR 	CABINA  ATEGO PARA QVV17193200	10.152994/3	605567	9147	QQRR905
37.396054/7	023183	D 979.811	X014910856	523751	W1	21-12-2017 14:49:50	LI	01	 BR 	CABINA  NEW-ACCELO PARA QVV101	20.174674/0	605666	9147	QQJJ014
37.391484/7	023213	D 958.860	X014911205	523594	W1	21-12-2017 14:49:54	LI	01	 BR 	CABINA  ATEGO PARA QVV17263442	10.152991/9	605539	9147	QQRR980
37.386468/6	023214	D 958.860	X014911187	523635	W1	21-12-2017 15:34:44	MO	01	 BR 	CABINA  ATEGO PARA QVV14190986	10.152979/0	605572	9147	QQRR913
37.390795/8	023231	D 979.811	X014910190	523706	W1	21-12-2017 15:34:52	MO	01	771 	CABINA ACCELO	20.174666/9	605629	9147	QQJJ012
37.396228/3	023261	D 958.860	X014911190	523750	W1	21-12-2017 15:41:20	MO	01	 BR 	CABINA  ATEGO PARA QVV17193200	10.153121/2	605665	9147	QQRR905
37.396293/3	023233	D 979.811	X014910855	523800	W1	21-12-2017 15:49:22	MO	01	 BR 	CABINA  NEW-ACCELO PARA QVV101	20.174673/1	605706	3530	QQJJ014
37.350558/3	023218	D 958.860	X014911183	523702	W1	21-12-2017 16:45:13	MO	01	789 	CABINA  ATEGO PARA QVV14180956	10.152970/6	605626	9147	QQCJ913
37.390807/0	023230	D 979.811	X014910190	523675	W1	21-12-2017 16:45:25	MO	01	771 	CABINA ACCELO	20.174681/2	605604	9147	QQJJ012
37.393667/3	023396	D 958.860	X014911213	523511	W1	21-12-2017 16:45:45	MO	01	 BR 	CABINA  ATEGO PARA QVV24267672	10.153012/7	605466	9147	QQBB974
37.391634/0	023219	D 958.860	X014911236	523649	W1	21-12-2017 16:45:55	MO	01	 BR 	CABINA  ATEGO PARA QVV30300358	10.153013/5	605583	3530	QQDD980
37.392755/6	023397	D 958.860	X014911223	523476	W1	21-12-2017 16:46:39	MO	01	789 	CABINA  ATEGO PARA QVV24281194	10.152816/5	605433	9147	QQNJ974
37.387566/0	023241	D 958.860	X014911187	523673	W1	21-12-2017 16:56:32	MO	01	 BR 	CABINA  ATEGO PARA QVV14190986	10.153043/7	605602	9147	QQRR913
37.392754/4	023401	D 958.860	X014911223	523536	W1	21-12-2017 16:56:37	MO	01	789 	CABINA  ATEGO PARA QVV24281194	10.152853/0	605490	9147	QQNJ974
37.391564/5	023234	D 958.860	X014911215	523699	W1	21-12-2017 18:45:40	MO	01	 BR 	CABINA  ATEGO PARA QVV24267741	10.153002/0	605623	9147	QQRR973
37.376109/5	023412	D 958.860	X014911204	523531	W1	21-12-2017 18:45:44	MO	01	771 	CABINA  ATEGO PARA QVV17263441	10.152861/0	605484	9147	QQGG974
37.389951/2	023411	D 958.870	X014910781	523731	W1	21-12-2017 18:45:48	MO	06	771 	CABINA  AXOR PARA QVV19331939T	10.153080/1	133146	9147	QQEJ750
37.389952/4	023402	D 958.870	X014910850	523708	W1	21-12-2017 18:45:52	MO	06	771 	CABINA  AXOR PARA QVV19331950T	10.153078/0	133142	9147	QQEJ750
37.396270/2	023413	D 958.870	X014910850	523670	W1	21-12-2017 18:45:56	MO	06	771 	CABINA  AXOR PARA QVV19331950T	10.152955/2	133135	9147	QQEJ750
